disegno_id;tipologia;dimensione;colore;posizione;orientamento;accuratezza;alim;io;sport;assoc
12;+-;N;NR-D;C;S;A-ND;FALSE;TRUE;FALSE;==
13;+;L;R-L;C;S;A-ND;FALSE;TRUE;FALSE;==
14;+-;N;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
16;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
17;+;N;R-D;P-R;S;A-D;TRUE;FALSE;FALSE;==
19;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
20;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
21;+;L;R-L;P-R;S;A-ND;TRUE;FALSE;FALSE;==
22;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
23;+;S;NR-D;P-L;S;A-D;FALSE;TRUE;FALSE;==
25;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
26;+-;L;NR-D;C;S;NA-ND;TRUE;TRUE;FALSE;++
27;+;L;NR-D;C;U;NA-D;TRUE;FALSE;FALSE;--
28;+;S;R-L;C;S;A-ND;FALSE;TRUE;FALSE;--
29;+;S;R-L;C;S;A-D;TRUE;FALSE;FALSE;--
30;+;S;R-L;P-LT;U;A-ND;TRUE;FALSE;FALSE;--
31;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
32;+;S;R-L;C;S;A-D;TRUE;FALSE;FALSE;--
33;+-;L;NR-L;C;S;NA-ND;FALSE;TRUE;FALSE;--
34;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
35;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
37;+-;N;NR-D;P-L;D;NA-ND;TRUE;TRUE;FALSE;++
38;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
39;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
40;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
41;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
42;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
43;+-;N;NR-L;C;D;NA-ND;TRUE;FALSE;FALSE;--
44;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;--
45;+;L;R-L;C;D;NA-ND;TRUE;FALSE;FALSE;--
46;+;N;R-L;P-L;S;A-ND;TRUE;FALSE;FALSE;--
47;+;L;R-L;PB-L;U;A-ND;TRUE;FALSE;FALSE;--
48;+;N;R-D;P-R;S;NA-ND;TRUE;FALSE;FALSE;==
49;+;S;NR-D;C;D;A-D;FALSE;TRUE;FALSE;==
50;+-;N;NR-D;P-L;S;A-D;FALSE;FALSE;FALSE;==
51;+;L;R-L;C;S;NA-ND;FALSE;TRUE;FALSE;==
53;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
54;+;S;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
55;+-;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
56;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
57;+;S;R-L;P-R;S;A-D;FALSE;FALSE;FALSE;==
58;+;S;R-L;P-R;S;A-D;FALSE;FALSE;FALSE;==
59;+;S;R-D;P-R;S;A-D;FALSE;FALSE;FALSE;==
60;+;S;R-D;P-TR;S;A-D;FALSE;TRUE;TRUE;==
61;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
62;+;S;R-L;P-L;S;A-ND;TRUE;FALSE;TRUE;==
63;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
64;+-;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
65;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
66;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
67;+;N;R-L;P-TR;D;A-D;TRUE;TRUE;FALSE;++
68;+;S;R-L;C;D;A-D;TRUE;TRUE;FALSE;++
69;+;N;R-L;P-R;S;A-D;TRUE;FALSE;FALSE;==
70;+;S;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
71;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
72;+;S;R-L;P-L;D;A-ND;so;FALSE;FALSE;==
73;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
74;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
75;+;N;R-L;C;S;A-D;FALSE;TRUE;FALSE;==
76;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
77;-;L;NR-D;C;D;NA-ND;TRUE;FALSE;FALSE;==
78;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;TRUE;==
79;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
80;+;N;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
81;+;N;NR-L;P-RT;S;A-D;FALSE;TRUE;FALSE;==
82;-;N;NR-D;C;U;NA-ND;TRUE;FALSE;FALSE;==
83;+;L;NR-L;C;S;NA-ND;TRUE;TRUE;FALSE;++
84;+-;N;NR-L;C;D;NA-ND;TRUE;FALSE;FALSE;==
85;+;N;R-L;C;U;A-ND;TRUE;TRUE;FALSE;--
86;+;S;R-L;C;U;A-ND;TRUE;TRUE;FALSE;--
87;+;N;R-L;C;U;A-ND;TRUE;TRUE;FALSE;--
90;+;L;NR-D;C;S;A-D;FALSE;TRUE;FALSE;==
91;+;N;R-D;P-L;D;A-D;TRUE;FALSE;FALSE;==
92;+;S;R-D;P-R;D;A-D;TRUE;FALSE;FALSE;==
93;+-;S;R-D;P-L;S;A-D;TRUE;TRUE;FALSE;--
94;+-;N;R-L;P-L;S;A-D;TRUE;FALSE;FALSE;==
95;+-;N;R-D;P-R;S;A-D;FALSE;TRUE;FALSE;==
96;+;N;NR-D;C;S;A-D;FALSE;TRUE;FALSE;==
97;+;N;NR-D;C;S;A-D;FALSE;TRUE;FALSE;==
98;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
99;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
100;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
101;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
102;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
103;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
104;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
105;-;L;NR-D;C;S;A-D;TRUE;FALSE;FALSE;==
106;+;S;R-L;P-BL;S;A-D;FALSE;TRUE;FALSE;==
107;+;S;R-L;P-R;S;A-D;FALSE;TRUE;FALSE;==
108;+;S;R-L;C;S;A-D;FALSE;TRUE;FALSE;==
109;+;N;R-L;P-L;S;A-D;FALSE;TRUE;FALSE;==
110;+;N;R-L;P-BL;S;A-ND;TRUE;FALSE;FALSE;==
111;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
112;+;N;R-L;P-L;S;A-ND;TRUE;FALSE;FALSE;==
113;+;N;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
114;+;S;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
115;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
116;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
117;+;S;R-L;C;S;A-D;FALSE;TRUE;FALSE;==
118;+;L;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;++
119;+;S;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
120;+;L;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
122;-;N;NR-L;C;S;A-D;FALSE;TRUE;FALSE;==
123;+-;S;NR-D;C;S;A-D;FALSE;TRUE;FALSE;++
124;+;L;NR-D;C;S;A-D;TRUE;FALSE;FALSE;==
125;+;S;NR-D;C;S;NA-ND;FALSE;TRUE;FALSE;==
129;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
130;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
131;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
132;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
133;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
134;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
135;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
136;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
137;-;S;NR-L;C;S;A-D;FALSE;TRUE;FALSE;++
138;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
139;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
140;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
141;+;S;R-L;P-LT;S;NA-ND;FALSE;FALSE;FALSE;==
142;+-;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
143;+-;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
144;+;N;R-L;C;S;A-D;FALSE;FALSE;FALSE;==
145;+-;N;R-D;C;S;NA-ND;TRUE;TRUE;FALSE;++
146;+-;N;NR-D;C;S;NA-ND;�;�;�;==
147;+-;N;NR-D;P-RB;S;NA-ND;FALSE;TRUE;FALSE;==
148;+;N;R-L;C;U;A-D;TRUE;FALSE;FALSE;==
149;+-;N;NR-L;C;S;A-ND;TRUE;TRUE;FALSE;--
150;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
151;+-;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
152;+;S;R-L;P-RB;S;NA-ND;TRUE;FALSE;FALSE;==
153;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
154;+;S;R-L;P-LT;S;A-ND;TRUE;TRUE;FALSE;++
155;+;S;R-L;P-LB;S;A-ND;TRUE;TRUE;FALSE;++
156;+;S;R-L;C;U;A-ND;TRUE;TRUE;FALSE;++
157;+;S;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;++
158;+-;N;NR-D;C;S;A-ND;TRUE;TRUE;FALSE;++
160;+-;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
161;+-;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;==
162;+-;S;R-L;P-LB;S;NA-ND;TRUE;TRUE;FALSE;--
163;+;S;NR-L;C;S;NA-D;TRUE;TRUE;FALSE;++
164;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
165;+-;L;NR-L;C;S;NA-ND;TRUE;TRUE;FALSE;--
166;+;S;NR-L;P-LT;S;NA-ND;TRUE;FALSE;FALSE;==
167;+-;S;R-L;C;S;NA-D;TRUE;TRUE;FALSE;--
168;+-;S;NR-L;P-LB;S;NA-ND;FALSE;TRUE;FALSE;==
169;+-;S;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;n� �
170;+;S;NR-L;P-RT;U;NA-ND;TRUE;TRUE;FALSE;++
171;+;N;R-L;C;S;NA-ND;TRUE;FALSE;TRUE;==
172;+;S;R-D;C;U;NA-D;TRUE;FALSE;FALSE;==
173;+;N;NR-L;P-RB;S;NA-ND;TRUE;FALSE;FALSE;==
174;+;L;R-L;C;S;NA-D;�;�;�;==
175;+;N;NR-L;C;S;A-ND;TRUE;TRUE;FALSE;--
176;+;N;NR-L;C;S;NA-D;TRUE;FALSE;FALSE;==
177;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
178;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
179;+;L;R-L;C;U;NA-ND;TRUE;FALSE;FALSE;==
180;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
181;+;L;R-L;P-R;S;NA-ND;TRUE;FALSE;FALSE;==
182;-;L;NR-D;C;U;NA-ND;TRUE;FALSE;FALSE;==
183;+-;S;NR-D;C;U;NA-D;TRUE;TRUE;FALSE;++
184;+;S;NR-L;P-LT;S;NA-ND;TRUE;TRUE;FALSE;++
185;+;S;R-L;P-LT;U;NA-ND;FALSE;TRUE;FALSE;==
186;+;N;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
187;+-;S;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;--
188;+;S;R-L;P-RT;S;A-ND;TRUE;FALSE;FALSE;==
189;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
190;+-;N;NR-L;C;S;A-ND;TRUE;TRUE;FALSE;--
191;-;N;NR-D;C;S;NA-D;FALSE;FALSE;FALSE;==
192;+-;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
193;+;L;R-L;C;S;NA-D;TRUE;FALSE;FALSE;==
194;+;N;R-L;P-RT;S;NA-ND;TRUE;FALSE;FALSE;==
195;+-;S;NR-L;C;U;NA-ND;TRUE;TRUE;FALSE;--
196;+;L;NR-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
